object,event,subject,lat,lon,timestamp,source
"FRM113004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38974152,-157.74196667,"2026-08-03T22:00:00.000Z","UAV 3"
"ENMORT003","FFE-On-Location ""Location={-5498573.025370, -2251262.832114, 2311309.431241}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.37448817,-157.73726715,"2026-08-03T22:00:00.000Z","UAV 3"
"FRAHS002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38655078,-157.73465933,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69010","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38075758,-157.73208913,"2026-08-03T22:00:00.000Z","UAV 3"
"FRM109004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38683655,-157.73430863,"2026-08-03T22:00:00.000Z","UAV 3"
"FRLAV004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38969449,-157.74169810,"2026-08-03T22:00:00.000Z","UAV 3"
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:00.000Z","UAV 3"
"ENCAESAR002","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-",21.37575122,-157.73461497,"2026-08-03T22:00:00.000Z","UAV 3"
"ENMORT005","FFE-On-Location ""Location={-5499123.141030, -2250320.406046, 2311025.754248}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.37463885,-157.73701809,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38062375,-157.73220904,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38083112,-157.73220700,"2026-08-03T22:00:00.000Z","UAV 3"
"ENMORT004","FFE-On-Location ""Location={-5498511.672389, -2250935.799735, 2311770.746054}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.37449517,-157.73695548,"2026-08-03T22:00:00.000Z","UAV 3"
"FRMORT002","FFE-On-Location ""Location={-5499132.853573, -2251193.466895, 2310064.199617}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.39124517,-157.73722922,"2026-08-03T22:00:00.000Z","UAV 3"
"FRM113003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38989816,-157.74194303,"2026-08-03T22:00:00.000Z","UAV 3"
"ENM35004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37321699,-157.73305944,"2026-08-03T22:00:00.000Z","UAV 3"
"ENGAZ001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37337528,-157.73279257,"2026-08-03T22:00:00.000Z","UAV 3"
"FRAHS001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38646271,-157.73469917,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69006","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38096188,-157.73222439,"2026-08-03T22:00:00.000Z","UAV 3"
"FRMORT001","FFE-On-Location ""Location={-5498976.908217, -2251427.979631, 2310206.739358}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.39116652,-157.73700854,"2026-08-03T22:00:00.000Z","UAV 3"
"FRLAV006","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38981915,-157.74203079,"2026-08-03T22:00:00.000Z","UAV 3"
"ENCAESAR004","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-",21.37601276,-157.73451630,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38097332,-157.73240275,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38100014,-157.73233777,"2026-08-03T22:00:00.000Z","UAV 3"
"ENGAZ002","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37349402,-157.73315589,"2026-08-03T22:00:00.000Z","UAV 3"
"ENM35002","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37340544,-157.73283903,"2026-08-03T22:00:00.000Z","UAV 3"
"ENGAZ003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37338431,-157.73326221,"2026-08-03T22:00:00.000Z","UAV 3"
"ENM35001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37314687,-157.73312307,"2026-08-03T22:00:00.000Z","UAV 3"
"FRM113006","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38989399,-157.74190826,"2026-08-03T22:00:00.000Z","UAV 3"
"FRMORT004","None","-",21.39105358,-157.73697074,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38065700,-157.73204394,"2026-08-03T22:00:00.000Z","UAV 3"
"ENMORT001","FFE-On-Location ""Location={-5499123.141030, -2250320.406046, 2311025.754248}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.37454920,-157.73726779,"2026-08-03T22:00:00.000Z","UAV 3"
"FRM109003","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38680864,-157.73465517,"2026-08-03T22:00:00.000Z","UAV 3"
"FRM109002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38670406,-157.73454745,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69008","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38096961,-157.73244663,"2026-08-03T22:00:00.000Z","UAV 3"
"FRT69009","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38066035,-157.73234161,"2026-08-03T22:00:00.000Z","UAV 3"
"FRLAV003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38979255,-157.74180726,"2026-08-03T22:00:00.000Z","UAV 3"
"ENMORT002","FFE-On-Location ""Location={-5498755.048693, -2250824.434840, 2311307.787782}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.37448557,-157.73696566,"2026-08-03T22:00:00.000Z","UAV 3"
"ENGAZ004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37336764,-157.73318922,"2026-08-03T22:00:00.000Z","UAV 3"
"FRMORT003","FFE-On-Location ""Location={-5499460.953457, -2250814.454542, 2309743.262342}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-",21.39122072,-157.73728393,"2026-08-03T22:00:00.000Z","UAV 3"
